left_id,right_id,confidence_score,predicted_match,ground_truth_match,prediction_correct,blocking_similarity,name_similarity,record_threshold,record_similarity,title_similarity,attribution_similarity,provision_similarity,subjects_similarity,genres_similarity,genres_is_original,attribution_is_original,subjects_is_original,provision_is_original
11142060#Agent100-11,11809050#Agent100-10,0.9860155706114683,True,True,True,1.0000000000000018,1.0,1.0,0.5955202683467214,0.35502181140588474,0.6950392862765948,0.8434231597631019,0.4170427734957952,1.0,1.0,1.0,0.0,1.0
11053359#Hub240-10-Agent,16044214#Agent700-43,0.38179175416416045,False,True,False,0.9365983055669168,0.5769230769230769,0.0,0.4948004848581947,0.44352600626691774,0.6498972289372912,0.4236152893451631,0.5987032586318406,0.3323510211407269,1.0,1.0,1.0,1.0
10555832#Agent700-35,12181005#Agent700-32,0.984515941626927,True,True,True,1.0000000000000027,1.0,1.0,0.7456607650286636,0.5846622402503794,0.9999999999999999,0.7461533012564773,0.6143920862915628,0.7158502170016949,1.0,0.0,1.0,1.0
11317446#Agent700-35,13838305-a662d90a-2ce1-4f26-b1b0-177a967a4ebf#http://id.loc.gov/rwo/agents/n86107150,0.5750475443643975,True,True,True,0.9365983055669168,0.5769230769230769,0.0,0.5241957837169335,0.41179178610365,0.29968952316810826,0.4989071781976264,0.752976427352088,0.4055649438322612,1.0,1.0,0.0,1.0
1484712#Agent700-20,16043963#Agent700-32,0.7905647890768859,True,False,False,1.0000000000000009,1.0,0.0,0.4632788223253558,0.24920899519752296,0.40073571611875225,0.3928509511456525,0.5539880668748745,0.7427924220992768,0.0,1.0,1.0,1.0
10096888#Hub240-11-Agent,11284799-4dedd0c6-78ec-42e0-b0c1-37d6f33dcdea#http://id.loc.gov/rwo/agents/n85006195,0.9843673521296702,True,True,True,1.0000000000000027,1.0,1.0,0.7263015910492179,0.5458673430391245,0.9999999999999999,0.7567530809874523,0.7677883615398409,0.7158502170016949,1.0,0.0,1.0,1.0
13768092-6084cd1b-dd34-4dab-be22-d4d6881f3f63#http://id.loc.gov/rwo/agents/n80038441,332567#Agent700-23,0.27135403602762787,False,False,True,0.9012376465737152,0.5925925925925926,0.0,0.4378005806436168,0.31995143471735765,0.4107879313470284,0.49717054964320856,0.3354328969400992,0.9489938043952588,0.0,1.0,1.0,1.0
2652260#Agent100-12,2671250#Agent100-12,0.9692643813078736,True,True,True,1.0000000000000018,1.0,1.0,0.6128090579965404,0.37835011280182296,0.985664360253938,0.7584593569448776,0.37240530673165306,1.0,0.0,0.0,1.0,1.0
15450663#Agent100-12,15466254#Agent600-27,0.9736557091739447,True,True,True,0.9999999999999996,1.0,1.0,0.6387323630734565,0.4532807828705994,0.44331905418600154,0.8508274724383524,0.4092950239436447,0.6889203433896307,0.0,1.0,1.0,1.0
11051107#Agent700-24,2840729#Agent600-22,0.9640281405206211,True,True,True,0.9714058500305568,0.8620689655172413,1.0,0.562019815454632,0.3740043985696057,0.714227817426434,0.5371780259077655,0.4081997387361451,1.0,0.0,0.0,1.0,1.0
